Algoritm de Sortare,Lungimea Listei,Timp (s)
Quick Sort,222,0.0
Heap Sort,222,0.0
Shell Sort,222,0.0
Timsort,222,0.0
Merge Sort,222,0.00099945068359375
Quick Sort,183,0.0010104179382324219
Heap Sort,183,0.0009853839874267578
Shell Sort,183,0.0
Timsort,183,0.0
Merge Sort,183,0.0
Quick Sort,972,0.0019953250885009766
Heap Sort,972,0.004021406173706055
Shell Sort,972,0.0019941329956054688
Timsort,972,0.0
Merge Sort,972,0.0029916763305664062
Quick Sort,13,0.0
Heap Sort,13,0.0
Shell Sort,13,0.0
Timsort,13,0.0
Merge Sort,13,0.0
Quick Sort,51,0.0009942054748535156
Heap Sort,51,0.0
Shell Sort,51,0.0010056495666503906
Timsort,51,0.0
Merge Sort,51,0.0
Quick Sort,431,0.0009975433349609375
Heap Sort,431,0.0019943714141845703
Shell Sort,431,0.0
Timsort,431,0.0
Merge Sort,431,0.0010216236114501953
Quick Sort,846,0.0019922256469726562
Heap Sort,846,0.002997159957885742
Shell Sort,846,0.0021305084228515625
Timsort,846,0.0009970664978027344
Merge Sort,846,0.002992868423461914
Quick Sort,886,0.0019860267639160156
Heap Sort,886,0.003978252410888672
Shell Sort,886,0.001992940902709961
Timsort,886,0.0
Merge Sort,886,0.001031637191772461
Quick Sort,252,0.0
Heap Sort,252,0.0
Shell Sort,252,0.0
Timsort,252,0.0
Merge Sort,252,0.0
Quick Sort,124,0.0
Heap Sort,124,0.0009970664978027344
Shell Sort,124,0.0
Timsort,124,0.0
Merge Sort,124,0.0010106563568115234
